,No,Names,Year,Comment,Country
0,1,Ameer Khan.,1851,,Other
1,,"Anderson, C.",1851,"Superintending Engineer, 3rd Grade.",English
2,,"Angelo, R. F., Lieut.",1859,"(Capt.) Staff Corps, 1st Native Infantry.",Other
3,,"Armstrong, W. P.",1859,,English
4,5,"Armstrong, L. H. C.",1862,"Assistant Engineer, 1st Grade.",English
5,,"Bagley, J. R.",1871,,English
6,,"Baillie, G., Lieut.",1854,Dead.,Scottish
7,,"Baxter, B.",1871,,English
8,,"Beahan, H.",1869,"Assistant Engineer, 3rd Grade.",Irish
9,10,"Bean, L.",1854,"Executive Engineer, 2nd Grade.",English
10,,"Beckett, W. H.",1858,"(Capt.) Executive Engineer, 3rd Grade.",Irish
11,,Behari Lal.,1862,"Assistant Engineer, 1st Grade.",Other
12,,Bhagut Singh.,1871,,Other
13,,"Bird, G.",1867,"Assistant Engineer, 2nd Grade.",English
14,15,"Blochmann, J., B.A.",1870,Engineer Apprentice.,Other
15,,"Boileau, C.",1855,"(Captain), 61st Regt. (with his Regt.)",French
16,,"Bradley, R.",1868,"Assistant Engineer, 2nd Grade.",English
17,,"Branson, C. E., Capt.",1870,Military Employ.,English
18,,Brijput Roy.,1870,Engineer Apprentice.,Other
19,20,"Brockman, W. D.",1858,"Executive Engineer, 2nd Grade.",English
20,,"Brown, F. D. M., V. c.,",1864,"(Capt.) Executive Engineer, 4th Grade.",Irish
21,22,"Brown, W. R.",1871,,Irish
22,23,"Buller, C. E., Lieut.",1871,Dead.,English
23,,"Carey, H., Lieut.",1870,"Assistant Engineer, 2nd Grade.",Irish
24,25,"Colquhoun, A.",1871,,Scottish
25,,"Conroy, W. P.",1863,,Irish
26,,"Cussen, F.",1851,,English
27,,"Connor, A. S. W.",1862,,Irish
28,,"Delafosse, C. E., Lieut.",1861,,French
29,30,"Dickens, T. C., Lieut.",1856,,English
30,,"Dodsworth, G. W.",1865,"Executive Engineer, 4th Grade.",English
31,,"Douglas, E.",1871,,Scottish
32,,"Downing, A. E., Lieut.",1864,"Executive Engineer, 4th Grade.",Irish
33,,"Dunlop, S. J., Lieut.",1869,"Assistant Engineer, 2nd Grade.",Scottish
34,35,"Earle, E. L., Lieut.",1854,"Superintending Engineer, 3rd Grade.",English
35,,"Elston, J.",1871,,English
36,,"Elliston, E. C., Ensign.",1868,"Assistant Engineer, 2nd Grade.",English
37,,"Evans, C.",1869,"Assistant Engineer, 2nd Grade.",Welsh
38,,"Fernie, W.",1864,"Assistant Engineer, 1st Grade.",Other
39,40,"Forrest, R. E.",1855,"Executive Engineer, 1st Grade.",English
40,,"Foster, E.",1871,,English
41,,"Garbett, H.",1854,"Ex. Engr., 1st Grade. Supdt. of Works.",English
42,,"Garstin, E. C., Lieut.",1859,"Executive Engineer, 4th Grade.",English
43,,Ghasee Ram.,1859,,Other
44,45,"Gibbs, G. R., Lieut.",1861,"Executive Engineer, 4th Grade.",English
45,,"Gordon, R., Lieut.",1867,"Executive Engineer, 4th Grade.",Scottish
46,,"Graves, H.",1868,"Assistant Engineer, 2nd Grade.",English
47,,"Graves, F. L., Lieut.",1871,,English
48,,"Greenwood, C.",1870,Engineer Apprentice.,English
49,50,"Hanna, S.",1854,"Executive Engineer, 4th Grade.",Irish
50,,"Hennessey, W. C.",1860,"Assistant Engineer, 1st Grade.",Irish
51,,"Hogan, W.",1852,,Irish
52,,Hurree Churn.,1852,,Other
53,,Isser Chunder Sirkar.,1862,"Assistant Engineer, 1st Grade.",German
54,55,"Jackson, G. D'A., Lt.",1863,"Assistant Engineer, 2nd Grade.",Irish
55,,"Johnson, W. H.",1865,"Assistant Engineer, 1st Grade.",English
56,,"Kalberer, F.",1862,Dead.,German
57,,"Keelan, E. J.",1868,"Assistant Engineer, 2nd Grade.",Irish
58,59,Khetter N. Chatterjee.,1860,"Assistant Engineer, 1st Grade.",Other
59,,Kunhya,1852,"Executive Engineer, 2nd Grade.",Other
60,,"Lesmond, D.",1871,,Other
61,,"Leupolt, C. B.",1863,"Executive Engineer, 4th Grade.",Other
62,,"Leupolt, H. J.",1870,Engineer Apprentice.,Other
63,,"Lilley, A. R.",1870,Engineer Apprentice.,English
64,65,"Lillingston, W. S., Lt. M.A.,",1867,"Deputy Conservator, Forest Department.",English
65,,"Luckstedt, H.",1871,,Other
66,,"MacDowell, J.",1864,"Assistant Engineer, 2nd Grade.",Other
67,,"Mackesy, W. H., Capt.",1861,"Executive Engineer, 3rd Grade.",Irish
68,,"Macrone, W.",1856,"Executive Engineer, 1st Grade.",Irish
69,70,"Maitland, G. T., Lieut.",1860,"Executive Engineer, 4th Grade.",English
70,,"Marshall, W., Lieut.",1855,"(Lieut.-Col.) Exec. Engineer, 2nd Grade.",English
71,,"Martin, G. W., Ensign.",1870,Topographical Survey.,Irish
72,,"Melville, A. B., Ensign",1857,Survey Department.,Scottish
73,,"Miller, J. F., Ensign.",1868,"Assistant Engineer, 2nd Grade.",English
74,75,Mad. Chatterjee.,1855,"Assistant Engineer, 1st Grade.",Other
75,,"Monies, A.",1871,,Other
76,,"Monk, H. L.",1865,"Assistant Engineer, 2nd Grade.",English
77,,"Murray, E.",1871,,Scottish
78,,Narain Dass.,1859,,Other
79,80,"Nelson, P.",1867,"Assistant Engineer, 1st Grade.",English
80,,"Nelson, R.",1869,"Assistant Engineer, 3rd Grade.",English
81,,Nilmonee Mitra.,1853,,Other
82,,"Norman, M.",1871,,Irish
83,,"Nuthall, Henry, J.",1853,"(Captain), Executive Engineer, 4th Grade.",English
84,85,"O'Callaghan, J., Lieut.",1870,"Assistant Engineer, 2nd Grade.",Irish
85,,"O'Toole, L.",1869,"Assistant Engineer, 3rd Grade.",Irish
86,,"Paezold, A.",1870,Engineer Apprentice.,Other
87,,"Palmer, H.",1868,"Assistant Engineer, 2nd Grade.",English
88,,"Parker, F. G. S., Lieut.",1860,,English
89,90,"Parry, W. E.",1860,"Executive Engineer, 4th Grade.",Welsh
90,,"Parsons, B. J., Lieut.",1860,"Executive Engineer, 3rd Grade.",English
91,,"Penn, J. H.",1864,Dead.,English
92,,"Pope, J. F.",1862,"Executive Engineer, 4th Grade.",English
93,,Radhi Lal.,1870,Engineer Apprentice.,Other
94,95,Ram Pershad.,1855,,Other
95,,"Rollo, J. T. ",1870,Engineer Apprentice.,Scottish
96,,"Rose, F. E.",1865,"Assistant Engineer, 2nd Grade.",English
97,,"Samuells, E. W., Lieut.",1863,"Survey Dept. Assistant Supdt., 1st Grade. 1863",Other
98,,"Sandeman, J. E., Lieut.",1864," Survey Dept. Assistant Supdt., 1st Grade.",Other
99,,"Scotland, J. P.",1871,,English
100,,"Scott, c. F.",1851,,Irish
101,,"Scott, H.",1854,"Survey Dept. Assistant Supdt., 1st Grade.",Irish
102,,"Shepherd, C. .E., Lieut.",1864,"Executive Engineer, 4th Grade. 1864",English
103,,"Sheo Nath, B.A.",1871,,Other
104,,Sheo Pershad.,1859,,Other
105,,"Sibold, E. A.",1864,"Assistant Engineer, 1st Grade.",German
106,,"Slater, J. S.",1870,Engineer Apprentice.,English
107,,"Smallman, H.",1868,"Assistant Engineer, 2nd Grade.",English
108,,"Smart, W.",1866,"Assistant Engineer, 2nd Grade.",English
109,,"Smart, J.",1866,"Assistant Engineer, 3rd Grade.",English
110,,Soondur Lal.,1858,,Other
111,,"Sparks, J.B.",1859,"(Lieut.) Assistant Engineer, 1st Grade.",English
112,,"Storey, W. M., Lieut.",1869,"Assistant Engineer, 2nd Grade.",English
113,,"Swetenham, E.",1853,"(Capt.) Staff Corps, Ex. Engr. 1st Grade.",English
114,,"Swetenham, G.",1854," (Capt.) R.E., Exec. Engineer, 1st Grade.",English
115,,"Thatcher, W.",1862," Executive Engineer, 4th Grade.",English
116,,"Tresham, J.",1866,"Assistant Engineer, 2nd Grade.",English
117,,"Tulloch, A., Lieut.",1855,"(Major) Dy. Asst. Qr.-Master, General.",Scottish
118,,Uzmut Oollah.,1854,,Other
119,,"Wavell, L., Lieut. 120",1865,"Dy. Asst. Supdt., Revenue Survey. 1865",Other
120,,"Whish, C. B., Lieut.",1854,,English
121,,"Whish, H. E., Ensign.",1856,"(Major) Executive Engineer, 1st Grade. 1856",English
122,,"White, H. F.",1859,"Executive Engineer, 3rd Grade.",English
123,,"Wilkins, W. H., Lieut.",1862," (Capt.) Asst. Supdt., 1st Grade, Rev.Survey.",English
124,,"Williams, F. J. 125",1861,,English
125,,"Wingate, T. O., Lieut.",1871,,English
126,,"Wither, A. C., Lieut.",1866,"Assistant Engineer, 1st Grade.",English
127,,"Wood, E. S., Lieut.",1871,"(Capt.) Dy. Conservator, Forest Dept. 1859",English
128,,"Wright, W. C.",1856,"(Col.) Commandant, 11th Bengal Cavalry.",English
129,130,"Wright, T., Lieut.",1864," Executive Engineer, 4th Grade.",English
130,131,"Yule, G. W. V.",1859,"Assistant Engineer, 1st Grade.",Scottish
